ZipCode,Latitude,Longitude,State,City,County Name,CountyFIPS,StateFIPS
51044,42.28764,-95.90323,IA,OTO,WOODBURY,193,19
64438,40.194132,-94.40572,MO,DARLINGTON,GENTRY,75,29
56162,43.850828,-94.655903,MN,ORMSBY,MARTIN,91,27
45671,38.967799,-83.240658,OH,RARDEN,SCIOTO,145,39
58565,47.536376,-101.365406,ND,RIVERDALE,MCLEAN,55,38
5073,43.62872,-72.461441,VT,TAFTSVILLE,WINDSOR,27,50
8316,39.273713,-74.971977,NJ,DORCHESTER,CUMBERLAND,11,34
16352,41.767609,-79.036343,PA,TIONA,WARREN,123,42
48627,44.461214,-84.748101,MI,HIGGINS LAKE,ROSCOMMON,143,26
59054,46.57558,-107.936792,MT,MELSTONE,MUSSELSHELL,65,30
59631,46.2574,-112.369114,MT,BASIN,JEFFERSON,43,30
61439,41.027612,-90.360282,IL,HENDERSON,KNOX,95,17
86438,34.776966,-114.174836,AZ,YUCCA,MOHAVE,15,4
63473,40.234199,-91.76444,MO,WILLIAMSTOWN,LEWIS,111,29
61852,39.897754,-88.075737,IL,LONGVIEW,CHAMPAIGN,19,17
35751,34.808878,-86.255212,AL,HOLLYTREE,JACKSON,71,1
45819,40.618037,-84.26798,OH,BUCKLAND,AUGLAIZE,11,39
8038,39.463402,-75.495698,NJ,HANCOCKS BRIDGE,SALEM,33,34
58379,47.905466,-98.813466,ND,TOKIO,BENSON,5,38
62089,39.132876,-89.491508,IL,TAYLOR SPRINGS,MONTGOMERY,135,17
83867,47.50029,-115.973857,ID,SILVERTON,SHOSHONE,79,16
59528,48.618308,-110.420785,MT,HINGHAM,HILL,41,30
79741,31.869206,-102.628018,TX,GOLDSMITH,ECTOR,135,48
63833,36.646908,-89.73086,MO,CATRON,NEW MADRID,143,29
76937,31.348406,-100.103654,TX,EOLA,CONCHO,95,48
12492,42.17954,-74.34751,NY,WEST KILL,GREENE,39,36
64636,40.104768,-94.002428,MO,COFFEY,DAVIESS,61,29
15828,41.328757,-79.14988,PA,CLARINGTON,FOREST,53,42
23079,37.730806,-76.672338,VA,JAMAICA,MIDDLESEX,119,51
23416,37.949706,-75.59115,VA,OAK HALL,ACCOMACK,1,51
21672,38.267799,-76.06694,MD,TODDVILLE,DORCHESTER,19,24
22711,38.470124,-78.283448,VA,BANCO,MADISON,113,51
